chord_ID,chord_HTML
L17,I<sup>7</sup>
M464,IV<sup>6</sup><sub>4</sub>
D564,v<sup>6</sup><sub>4</sub>
L565,V<sup>6</sup><sub>5</sub>
442/2,IV<sup>4</sup><sub>2</sub>/ii
464/6,IV<sup>6</sup><sub>4</sub>/vi
Y16,i<sup>6</sup>
b543,v<sup>4</sup><sub>3</sub>
M165,I<sup>6</sup><sub>5</sub>
L364,iii<sup>6</sup><sub>4</sub>
M642,vi<sup>4</sup><sub>2</sub>
M242,ii<sup>4</sup><sub>2</sub>
b542,v<sup>4</sup><sub>2</sub>
77/4,vii<sup>??</sup><sup>7</sup>/IV
542/7,V<sup>4</sup><sub>2</sub>/vii
L665,vi<sup>6</sup><sub>5</sub>
Y26,&#9837;II<sup>6</sup>
D66,vi&deg;<sup>6</sup>
L642,vi<sup>4</sup><sub>2</sub>
Y1,i
D36,&#9837;III<sup>6</sup>
