id html probability child_path
464 IV<sup>6</sup><sub>4</sub> 0.011 56,464
3 iii 0.009 56,3
664 vi<sup>6</sup><sub>4</sub> 0.008 56,664
16 I<sup>6</sup> 0.006 56,16
164 I<sup>6</sup><sub>4</sub> 0.006 56,164
17 I<sup>7</sup> 0.006 56,17
27 ii<sup>7</sup> 0.005 56,27
5/6 V/vi 0.005 56,5/6
57 V<sup>7</sup> 0.005 56,57
564/5 V<sup>6</sup><sub>4</sub>/V 0.005 56,564/5
47 IV<sup>7</sup> 0.005 56,47
5/5 V/V 0.005 56,5/5
6 vi 0.507 5/6,6
4 IV 0.17 5/6,4
2 ii 0.032 5/6,2
1 I 0.029 5/6,1
57/6 V<sup>7</sup>/vi 0.026 5/6,57/6
56/6 V<sup>6</sup>/vi 0.019 5/6,56/6
564/6 V<sup>6</sup><sub>4</sub>/vi 0.019 5/6,564/6
27 ii<sup>7</sup> 0.017 5/6,27
664 vi<sup>6</sup><sub>4</sub> 0.015 5/6,664
67 vi<sup>7</sup> 0.014 5/6,67
66 vi<sup>6</sup> 0.013 5/6,66
47 IV<sup>7</sup> 0.012 5/6,47
5 V 0.011 5/6,5
3 iii 0.008 5/6,3
5/2 V/ii 0.007 5/6,5/2
542/6 V<sup>4</sup><sub>2</sub>/vi 0.006 5/6,542/6
17 I<sup>7</sup> 0.006 5/6,17
5/5 V/V 0.005 5/6,5/5
67 vi<sup>7</sup> 0.146 37,67
6 vi 0.144 37,6
47 IV<sup>7</sup> 0.134 37,47
4 IV 0.108 37,4
27 ii<sup>7</sup> 0.107 37,27
5 V 0.03 37,5
3 iii 0.025 37,3
57/2 V<sup>7</sup>/ii 0.025 37,57/2
1 I 0.016 37,1
2 ii 0.013 37,2
b37 &#9837;III<sup>7</sup> 0.01 37,b37
564 V<sup>6</sup><sub>4</sub> 0.01 37,564
5/2 V/ii 0.01 37,5/2
343 iii<sup>4</sup><sub>3</sub> 0.009 37,343
164 I<sup>6</sup><sub>4</sub> 0.008 37,164
M57 v<sup>7</sup> 0.008 37,M57
C37 &#9837;iii<sup>7</sup> 0.007 37,C37
17 I<sup>7</sup> 0.006 37,17
664 vi<sup>6</sup><sub>4</sub> 0.006 37,664
16 I<sup>6</sup> 0.005 37,16
D3 &#9837;III 0.005 37,D3
D37 &#9837;III<sup>7</sup> 0.005 37,D37
265 ii<sup>6</sup><sub>5</sub> 0.005 37,265
365 iii<sup>6</sup><sub>5</sub> 0.005 37,365
1 I 0.164 164,1
4 IV 0.151 164,4
5 V 0.128 164,5
6 vi 0.073 164,6
57 V<sup>7</sup> 0.042 164,57
16 I<sup>6</sup> 0.041 164,16
47 IV<sup>7</sup> 0.034 164,47
67 vi<sup>7</sup> 0.019 164,67
27 ii<sup>7</sup> 0.018 164,27
46 IV<sup>6</sup> 0.016 164,46
3 iii 0.014 164,3
56 V<sup>6</sup> 0.014 164,56
L26 II<sup>6</sup> 0.011 164,L26
b6 &#9837;VI 0.011 164,b6
464 IV<sup>6</sup><sub>4</sub> 0.01 164,464
57/2 V<sup>7</sup>/ii 0.01 164,57/2
56/5 V<sup>6</sup>/V 0.009 164,56/5
37 iii<sup>7</sup> 0.009 164,37
2 ii 0.009 164,2
L4 &#9839;iv&deg; 0.007 164,L4
265 ii<sup>6</sup><sub>5</sub> 0.007 164,265
5/5 V/V 0.006 164,5/5
56/6 V<sup>6</sup>/vi 0.006 164,56/6
542 V<sup>4</sup><sub>2</sub> 0.006 164,542
564 V<sup>6</sup><sub>4</sub> 0.006 164,564
77/5 vii<sup>??</sup><sup>7</sup>/V 0.005 164,77/5
26 ii<sup>6</sup> 0.005 164,26
142 I<sup>4</sup><sub>2</sub> 0.005 164,142
642 vi<sup>4</sup><sub>2</sub> 0.005 164,642
1 I 0.374 57,1
5 V 0.067 57,5
17 I<sup>7</sup> 0.056 57,17
4 IV 0.042 57,4
542 V<sup>4</sup><sub>2</sub> 0.042 57,542
6 vi 0.039 57,6
67 vi<sup>7</sup> 0.039 57,67
27 ii<sup>7</sup> 0.035 57,27
164 I<sup>6</sup><sub>4</sub> 0.03 57,164
37 iii<sup>7</sup> 0.018 57,37
2 ii 0.015 57,2
665 vi<sup>6</sup><sub>5</sub> 0.014 57,665
16 I<sup>6</sup> 0.012 57,16
642 vi<sup>4</sup><sub>2</sub> 0.011 57,642
47 IV<sup>7</sup> 0.011 57,47
543 V<sup>4</sup><sub>3</sub> 0.01 57,543
365 iii<sup>6</sup><sub>5</sub> 0.01 57,365
57/4 V<sup>7</sup>/IV 0.01 57,57/4
3 iii 0.009 57,3
M17 Ib7 0.008 57,M17
36 iii<sup>6</sup> 0.007 57,36
57/6 V<sup>7</sup>/vi 0.007 57,57/6
56/6 V<sup>6</sup>/vi 0.007 57,56/6
7/6 vii&deg;/vi 0.007 57,7/6
b7 &#9837;VII 0.007 57,b7
Y57 v<sup>??</sup><sup>7</sup> 0.005 57,Y57
D47 IVb7 0.005 57,D47
565 V<sup>6</sup><sub>5</sub> 0.005 57,565
4 IV 0.227 b7,4
1 I 0.202 b7,1
6 vi 0.111 b7,6
5 V 0.057 b7,5
46 IV<sup>6</sup> 0.047 b7,46
b3 &#9837;III 0.034 b7,b3
2 ii 0.025 b7,2
7 vii&deg; 0.015 b7,7
b6 &#9837;VI 0.014 b7,b6
L7 vii 0.012 b7,L7
464/4 IV<sup>6</sup><sub>4</sub>/IV 0.012 b7,464/4
b1 i 0.011 b7,b1
67 vi<sup>7</sup> 0.011 b7,67
5/2 V/ii 0.009 b7,5/2
5/6 V/vi 0.008 b7,5/6
264 ii<sup>6</sup><sub>4</sub> 0.008 b7,264
27 ii<sup>7</sup> 0.007 b7,27
57 V<sup>7</sup> 0.006 b7,57
5/3 V/iii 0.006 b7,5/3
57/6 V<sup>7</sup>/vi 0.005 b7,57/6
b5 v 0.005 b7,b5
56 V<sup>6</sup> 0.005 b7,56
D5 v 0.005 b7,D5
47 IV<sup>7</sup> 0.15 17,47
1 I 0.084 17,1
27 ii<sup>7</sup> 0.068 17,27
4 IV 0.059 17,4
67 vi<sup>7</sup> 0.056 17,67
6 vi 0.041 17,6
464 IV<sup>6</sup><sub>4</sub> 0.036 17,464
57/4 V<sup>7</sup>/IV 0.035 17,57/4
37 iii<sup>7</sup> 0.032 17,37
5 V 0.028 17,5
143 I<sup>4</sup><sub>3</sub> 0.021 17,143
2 ii 0.021 17,2
L77 vii<sup>7</sup> 0.02 17,L77
66 vi<sup>6</sup> 0.015 17,66
57/3 V<sup>7</sup>/iii 0.013 17,57/3
57/2 V<sup>7</sup>/ii 0.012 17,57/2
665 vi<sup>6</sup><sub>5</sub> 0.011 17,665
b57 v<sup>7</sup> 0.01 17,b57
57/6 V<sup>7</sup>/vi 0.01 17,57/6
47/4 IV<sup>7</sup>/IV 0.01 17,47/4
164 I<sup>6</sup><sub>4</sub> 0.01 17,164
77 vii<sup>??</sup><sup>7</sup> 0.009 17,77
3 iii 0.009 17,3
642 vi<sup>4</sup><sub>2</sub> 0.008 17,642
5/5 V/V 0.007 17,5/5
M17 Ib7 0.007 17,M17
242 ii<sup>4</sup><sub>2</sub> 0.007 17,242
M77 &#9837;VII<sup>7</sup> 0.006 17,M77
b77 &#9837;VIIb7 0.006 17,b77
5/2 V/ii 0.005 17,5/2
47/3 IV<sup>7</sup>/iii 0.005 17,47/3
564 V<sup>6</sup><sub>4</sub> 0.005 17,564
