id html probability child_path
464/4 IV<sup>6</sup><sub>4</sub>/IV 0.025 5,1,164,464/4
543/5 V<sup>4</sup><sub>3</sub>/V 0.025 5,1,164,543/5
b6 &#9837;VI 0.025 5,1,164,b6
46 IV<sup>6</sup> 0.025 5,1,164,46
464 IV<sup>6</sup><sub>4</sub> 0.025 5,1,164,464
5 V 0.017 5,1,164,5
243 ii<sup>4</sup><sub>3</sub> 0.017 5,1,164,243
4 IV 0.368 5,1,5/5,4
5/6 V/vi 0.189 5,1,5/5,5/6
6 vi 0.113 5,1,5/5,6
3 iii 0.104 5,1,5/5,3
5 V 0.085 5,1,5/5,5
47 IV<sup>7</sup> 0.028 5,1,5/5,47
b37 &#9837;III<sup>7</sup> 0.028 5,1,5/5,b37
564 V<sup>6</sup><sub>4</sub> 0.028 5,1,5/5,564
67 vi<sup>7</sup> 0.028 5,1,5/5,67
b7 &#9837;VII 0.019 5,1,5/5,b7
1 I 0.009 5,1,5/5,1
16 I<sup>6</sup> 0.48 5,1,27,16
4 IV 0.108 5,1,27,4
5/6 V/vi 0.088 5,1,27,5/6
1 I 0.078 5,1,27,1
6 vi 0.069 5,1,27,6
5 V 0.059 5,1,27,5
37 iii<sup>7</sup> 0.049 5,1,27,37
564 V<sup>6</sup><sub>4</sub> 0.02 5,1,27,564
3 iii 0.02 5,1,27,3
6 vi 0.538 5,1,5/6,6
4 IV 0.269 5,1,5/6,4
57/6 V<sup>7</sup>/vi 0.129 5,1,5/6,57/6
2 ii 0.032 5,1,5/6,2
5/2 V/ii 0.032 5,1,5/6,5/2
6 vi 0.596 5,1,142,6
67 vi<sup>7</sup> 0.18 5,1,142,67
4 IV 0.124 5,1,142,4
1 I 0.034 5,1,142,1
542/4 V<sup>4</sup><sub>2</sub>/IV 0.034 5,1,142,542/4
M142 I<sup>4</sup><sub>2</sub> 0.034 5,1,142,M142
1 I 0.565 5,1,464,1
57/4 V<sup>7</sup>/IV 0.106 5,1,464,57/4
6 vi 0.082 5,1,464,6
17 I<sup>7</sup> 0.071 5,1,464,17
4 IV 0.071 5,1,464,4
L4 &#9839;iv&deg; 0.035 5,1,464,L4
47 IV<sup>7</sup> 0.035 5,1,464,47
142 I<sup>4</sup><sub>2</sub> 0.035 5,1,464,142
6 vi 0.615 5,1,57/6,6
4 IV 0.269 5,1,57/6,4
27 ii<sup>7</sup> 0.115 5,1,57/6,27
4 IV 0.22 5,1,17,4
47 IV<sup>7</sup> 0.16 5,1,17,47
164 I<sup>6</sup><sub>4</sub> 0.12 5,1,17,164
464 IV<sup>6</sup><sub>4</sub> 0.1 5,1,17,464
3 iii 0.06 5,1,17,3
57/4 V<sup>7</sup>/IV 0.06 5,1,17,57/4
b57 v<sup>7</sup> 0.06 5,1,17,b57
542/4 V<sup>4</sup><sub>2</sub>/IV 0.06 5,1,17,542/4
1 I 0.04 5,1,17,1
1 I 0.409 5,1,57,1
6 vi 0.205 5,1,57,6
4 IV 0.136 5,1,57,4
164 I<sup>6</sup><sub>4</sub> 0.114 5,1,57,164
47 IV<sup>7</sup> 0.068 5,1,57,47
5 V 0.068 5,1,57,5
6 vi 0.542 5,1,7,6
5/6 V/vi 0.146 5,1,7,5/6
1 I 0.125 5,1,7,1
57/6 V<sup>7</sup>/vi 0.063 5,1,7,57/6
56/6 V<sup>6</sup>/vi 0.063 5,1,7,56/6
67 vi<sup>7</sup> 0.063 5,1,7,67
4 IV 0.356 5,1,67,4
5 V 0.267 5,1,67,5
27 ii<sup>7</sup> 0.067 5,1,67,27
3 iii 0.067 5,1,67,3
265 ii<sup>6</sup><sub>5</sub> 0.067 5,1,67,265
26 ii<sup>6</sup> 0.067 5,1,67,26
1 I 0.044 5,1,67,1
164 I<sup>6</sup><sub>4</sub> 0.044 5,1,67,164
5 V 0.514 5,4,1,5
6 vi 0.174 5,4,1,6
4 IV 0.133 5,4,1,4
2 ii 0.032 5,4,1,2
56 V<sup>6</sup> 0.022 5,4,1,56
b7 &#9837;VII 0.02 5,4,1,b7
5/5 V/V 0.015 5,4,1,5/5
5/6 V/vi 0.015 5,4,1,5/6
3 iii 0.012 5,4,1,3
364 iii<sup>6</sup><sub>4</sub> 0.007 5,4,1,364
D3 &#9837;III 0.006 5,4,1,D3
27 ii<sup>7</sup> 0.005 5,4,1,27
6 vi 0.324 5,4,5,6
1 I 0.276 5,4,5,1
4 IV 0.264 5,4,5,4
3 iii 0.039 5,4,5,3
2 ii 0.023 5,4,5,2
46 IV<sup>6</sup> 0.006 5,4,5,46
16 I<sup>6</sup> 0.006 5,4,5,16
5/6 V/vi 0.006 5,4,5,5/6
b6 &#9837;VI 0.006 5,4,5,b6
5 V 0.523 5,4,6,5
1 I 0.261 5,4,6,1
4 IV 0.072 5,4,6,4
3 iii 0.039 5,4,6,3
2 ii 0.038 5,4,6,2
57/2 V<sup>7</sup>/ii 0.011 5,4,6,57/2
67 vi<sup>7</sup> 0.01 5,4,6,67
36 iii<sup>6</sup> 0.008 5,4,6,36
664 vi<sup>6</sup><sub>4</sub> 0.005 5,4,6,664
7 vii&deg; 0.005 5,4,6,7
27 ii<sup>7</sup> 0.005 5,4,6,27
37 iii<sup>7</sup> 0.005 5,4,6,37
6 vi 0.301 5,4,3,6
2 ii 0.216 5,4,3,2
4 IV 0.19 5,4,3,4
5 V 0.08 5,4,3,5
1 I 0.07 5,4,3,1
464 IV<sup>6</sup><sub>4</sub> 0.026 5,4,3,464
27 ii<sup>7</sup> 0.021 5,4,3,27
5/5 V/V 0.017 5,4,3,5/5
b3 &#9837;III 0.014 5,4,3,b3
67 vi<sup>7</sup> 0.01 5,4,3,67
7/6 vii&deg;/vi 0.01 5,4,3,7/6
543 V<sup>4</sup><sub>3</sub> 0.007 5,4,3,543
5/2 V/ii 0.007 5,4,3,5/2
57 V<sup>7</sup> 0.007 5,4,3,57
46 IV<sup>6</sup> 0.005 5,4,3,46
5/6 V/vi 0.005 5,4,3,5/6
6 vi 0.319 5,4,2,6
1 I 0.223 5,4,2,1
5 V 0.167 5,4,2,5
3 iii 0.083 5,4,2,3
4 IV 0.076 5,4,2,4
5/6 V/vi 0.039 5,4,2,5/6
16 I<sup>6</sup> 0.034 5,4,2,16
57/6 V<sup>7</sup>/vi 0.01 5,4,2,57/6
57 V<sup>7</sup> 0.01 5,4,2,57
264 ii<sup>6</sup><sub>4</sub> 0.007 5,4,2,264
b7 &#9837;VII 0.007 5,4,2,b7
664 vi<sup>6</sup><sub>4</sub> 0.007 5,4,2,664
C3 &#9837;iii 0.005 5,4,2,C3
4 IV 0.203 5,4,16,4
1 I 0.172 5,4,16,1
2 ii 0.149 5,4,16,2
5 V 0.132 5,4,16,5
27 ii<sup>7</sup> 0.111 5,4,16,27
6 vi 0.074 5,4,16,6
D3 &#9837;III 0.041 5,4,16,D3
564 V<sup>6</sup><sub>4</sub> 0.03 5,4,16,564
C16 i&deg;<sup>6</sup> 0.02 5,4,16,C16
67 vi<sup>7</sup> 0.017 5,4,16,67
56/2 V<sup>6</sup>/ii 0.01 5,4,16,56/2
56 V<sup>6</sup> 0.01 5,4,16,56
5/5 V/V 0.01 5,4,16,5/5
6 vi 0.669 5,4,5/6,6
5 V 0.046 5,4,5/6,5
57/6 V<sup>7</sup>/vi 0.046 5,4,5/6,57/6
565/6 V<sup>6</sup><sub>5</sub>/vi 0.031 5,4,5/6,565/6
1 I 0.023 5,4,5/6,1
542/6 V<sup>4</sup><sub>2</sub>/vi 0.023 5,4,5/6,542/6
4/3 IV/iii 0.023 5,4,5/6,4/3
3 iii 0.015 5,4,5/6,3
47 IV<sup>7</sup> 0.015 5,4,5/6,47
D3 &#9837;III 0.008 5,4,5/6,D3
57/4 V<sup>7</sup>/IV 0.008 5,4,5/6,57/4
1 I 0.785 5,4,b7,1
6 vi 0.065 5,4,b7,6
4 IV 0.065 5,4,b7,4
2 ii 0.032 5,4,b7,2
b3 &#9837;III 0.032 5,4,b7,b3
5/3 V/iii 0.011 5,4,b7,5/3
M17 Ib7 0.011 5,4,b7,M17
5 V 0.84 5,4,67,5
1 I 0.062 5,4,67,1
Y6 &#9837;VI 0.037 5,4,67,Y6
17 I<sup>7</sup> 0.037 5,4,67,17
67 vi<sup>7</sup> 0.274 5,4,27,67
1 I 0.205 5,4,27,1
5 V 0.164 5,4,27,5
6 vi 0.096 5,4,27,6
4 IV 0.082 5,4,27,4
57/6 V<sup>7</sup>/vi 0.082 5,4,27,57/6
47 IV<sup>7</sup> 0.055 5,4,27,47
56 V<sup>6</sup> 0.041 5,4,27,56
4 IV 0.34 5,4,47,4
5 V 0.32 5,4,47,5
1 I 0.06 5,4,47,1
5/6 V/vi 0.06 5,4,47,5/6
6 vi 0.06 5,4,47,6
57/6 V<sup>7</sup>/vi 0.04 5,4,47,57/6
4 IV 0.306 5,4,664,4
1 I 0.184 5,4,664,1
2 ii 0.122 5,4,664,2
56/3 V<sup>6</sup>/iii 0.122 5,4,664,56/3
5/6 V/vi 0.082 5,4,664,5/6
5 V 0.061 5,4,664,5
27 ii<sup>7</sup> 0.061 5,4,664,27
364 iii<sup>6</sup><sub>4</sub> 0.061 5,4,664,364
5 V 0.486 5,4,164,5
b6 &#9837;VI 0.257 5,4,164,b6
6 vi 0.143 5,4,164,6
4 IV 0.086 5,4,164,4
56/6 V<sup>6</sup>/vi 0.029 5,4,164,56/6
6 vi 0.231 5,4,37,6
5 V 0.231 5,4,37,5
b3 &#9837;III 0.154 5,4,37,b3
27 ii<sup>7</sup> 0.077 5,4,37,27
2 ii 0.077 5,4,37,2
1 I 0.501 5,2,4,1
5 V 0.229 5,2,4,5
6 vi 0.161 5,2,4,6
3 iii 0.029 5,2,4,3
2 ii 0.019 5,2,4,2
67 vi<sup>7</sup> 0.017 5,2,4,67
37 iii<sup>7</sup> 0.01 5,2,4,37
46 IV<sup>6</sup> 0.007 5,2,4,46
664 vi<sup>6</sup><sub>4</sub> 0.005 5,2,4,664
1 I 0.379 5,2,6,1
4 IV 0.289 5,2,6,4
5 V 0.162 5,2,6,5
2 ii 0.048 5,2,6,2
3 iii 0.035 5,2,6,3
47 IV<sup>7</sup> 0.016 5,2,6,47
b7 &#9837;VII 0.011 5,2,6,b7
56/3 V<sup>6</sup>/iii 0.009 5,2,6,56/3
5/6 V/vi 0.007 5,2,6,5/6
164 I<sup>6</sup><sub>4</sub> 0.005 5,2,6,164
26 ii<sup>6</sup> 0.005 5,2,6,26
17 I<sup>7</sup> 0.005 5,2,6,17
664 vi<sup>6</sup><sub>4</sub> 0.005 5,2,6,664
642 vi<sup>4</sup><sub>2</sub> 0.005 5,2,6,642
5 V 0.531 5,2,1,5
6 vi 0.149 5,2,1,6
4 IV 0.099 5,2,1,4
2 ii 0.089 5,2,1,2
3 iii 0.03 5,2,1,3
b7 &#9837;VII 0.022 5,2,1,b7
56 V<sup>6</sup> 0.015 5,2,1,56
364 iii<sup>6</sup><sub>4</sub> 0.01 5,2,1,364
b1 i 0.01 5,2,1,b1
26 ii<sup>6</sup> 0.007 5,2,1,26
143 I<sup>4</sup><sub>3</sub> 0.007 5,2,1,143
46 IV<sup>6</sup> 0.007 5,2,1,46
265 ii<sup>6</sup><sub>5</sub> 0.007 5,2,1,265
67 vi<sup>7</sup> 0.007 5,2,1,67
2 ii 0.5 5,2,5,2
1 I 0.193 5,2,5,1
6 vi 0.096 5,2,5,6
4 IV 0.07 5,2,5,4
67 vi<sup>7</sup> 0.048 5,2,5,67
b7 &#9837;VII 0.026 5,2,5,b7
56 V<sup>6</sup> 0.022 5,2,5,56
26 ii<sup>6</sup> 0.011 5,2,5,26
57 V<sup>7</sup> 0.011 5,2,5,57
5/5 V/V 0.007 5,2,5,5/5
542 V<sup>4</sup><sub>2</sub> 0.007 5,2,5,542
4 IV 0.77 5,2,3,4
6 vi 0.089 5,2,3,6
47 IV<sup>7</sup> 0.031 5,2,3,47
165 I<sup>6</sup><sub>5</sub> 0.031 5,2,3,165
364 iii<sup>6</sup><sub>4</sub> 0.016 5,2,3,364
2 ii 0.016 5,2,3,2
5 V 0.016 5,2,3,5
46 IV<sup>6</sup> 0.016 5,2,3,46
542 V<sup>4</sup><sub>2</sub> 0.016 5,2,3,542
4 IV 0.697 5,2,16,4
56 V<sup>6</sup> 0.091 5,2,16,56
b4 iv 0.091 5,2,16,b4
6 vi 0.462 5,2,5/6,6
4 IV 0.308 5,2,5/6,4
47 IV<sup>7</sup> 0.231 5,2,5/6,47
1 I 0.478 5,2,67,1
5 V 0.261 5,2,67,5
4 IV 0.261 5,2,67,4
1 I 0.783 5,2,b7,1
4 IV 0.13 5,2,b7,4
5 V 0.087 5,2,b7,5
2 ii 0.667 5,2,264,2
6 vi 0.167 5,2,264,6
1 I 0.167 5,2,264,1
4 IV 0.533 5,2,37,4
365 iii<sup>6</sup><sub>5</sub> 0.2 5,2,37,365
6 vi 0.2 5,2,37,6
5/2 V/ii 0.067 5,2,37,5/2
4 IV 0.429 5,2,27,4
242 ii<sup>4</sup><sub>2</sub> 0.214 5,2,27,242
76 vii&deg;<sup>6</sup> 0.214 5,2,27,76
5 V 0.143 5,2,27,5
4 IV 0.352 5,3,6,4
2 ii 0.257 5,3,6,2
5 V 0.158 5,3,6,5
1 I 0.078 5,3,6,1
3 iii 0.025 5,3,6,3
5/5 V/V 0.019 5,3,6,5/5
27 ii<sup>7</sup> 0.015 5,3,6,27
642 vi<sup>4</sup><sub>2</sub> 0.011 5,3,6,642
7 vii&deg; 0.011 5,3,6,7
56 V<sup>6</sup> 0.01 5,3,6,56
56/5 V<sup>6</sup>/V 0.007 5,3,6,56/5
L7 vii 0.007 5,3,6,L7
464 IV<sup>6</sup><sub>4</sub> 0.007 5,3,6,464
47 IV<sup>7</sup> 0.007 5,3,6,47
L27 II<sup>7</sup> 0.006 5,3,6,L27
6 vi 0.37 5,3,4,6
5 V 0.254 5,3,4,5
2 ii 0.116 5,3,4,2
1 I 0.094 5,3,4,1
3 iii 0.071 5,3,4,3
56/5 V<sup>6</sup>/V 0.012 5,3,4,56/5
27 ii<sup>7</sup> 0.01 5,3,4,27
47 IV<sup>7</sup> 0.006 5,3,4,47
57/5 V<sup>7</sup>/V 0.006 5,3,4,57/5
67 vi<sup>7</sup> 0.006 5,3,4,67
5/2 V/ii 0.006 5,3,4,5/2
37 iii<sup>7</sup> 0.006 5,3,4,37
36 iii<sup>6</sup> 0.006 5,3,4,36
6 vi 0.3 5,3,5,6
Y6 &#9837;VI 0.275 5,3,5,Y6
1 I 0.2 5,3,5,1
3 iii 0.15 5,3,5,3
M2 ii 0.038 5,3,5,M2
2 ii 0.038 5,3,5,2
6 vi 0.327 5,3,1,6
4 IV 0.192 5,3,1,4
66 vi<sup>6</sup> 0.115 5,3,1,66
5/3 V/iii 0.115 5,3,1,5/3
364 iii<sup>6</sup><sub>4</sub> 0.077 5,3,1,364
2 ii 0.058 5,3,1,2
5 V 0.058 5,3,1,5
b3 &#9837;III 0.058 5,3,1,b3
1 I 0.313 5,3,2,1
6 vi 0.25 5,3,2,6
4 IV 0.229 5,3,2,4
3 iii 0.125 5,3,2,3
5 V 0.063 5,3,2,5
57/6 V<sup>7</sup>/vi 0.021 5,3,2,57/6
4 IV 0.357 5,3,67,4
57/4 V<sup>7</sup>/IV 0.214 5,3,67,57/4
5 V 0.167 5,3,67,5
27 ii<sup>7</sup> 0.143 5,3,67,27
6 vi 0.071 5,3,67,6
3 iii 0.048 5,3,67,3
1 I 0.5 5,3,47,1
5 V 0.222 5,3,47,5
464 IV<sup>6</sup><sub>4</sub> 0.167 5,3,47,464
6 vi 0.111 5,3,47,6
1 I 0.647 5,3,5/5,1
67 vi<sup>7</sup> 0.353 5,3,5/5,67
2 ii 0.4 5,3,5/2,2
27 ii<sup>7</sup> 0.4 5,3,5/2,27
4 IV 0.2 5,3,5/2,4
4 IV 1 5,3,5/6,4
6 vi 1 5,3,b4,6
4 IV 0.667 5,3,36,4
6 vi 0.333 5,3,36,6
3 iii 0.667 5,3,364,3
6 vi 0.333 5,3,364,6
1 I 0.438 5,67,4,1
5 V 0.393 5,67,4,5
67 vi<sup>7</sup> 0.051 5,67,4,67
3 iii 0.034 5,67,4,3
16 I<sup>6</sup> 0.022 5,67,4,16
27 ii<sup>7</sup> 0.017 5,67,4,27
642 vi<sup>4</sup><sub>2</sub> 0.017 5,67,4,642
2 ii 0.017 5,67,4,2
265 ii<sup>6</sup><sub>5</sub> 0.011 5,67,4,265
1 I 0.2 5,67,5,1
4 IV 0.2 5,67,5,4
47 IV<sup>7</sup> 0.135 5,67,5,47
2 ii 0.058 5,67,5,2
67 vi<sup>7</sup> 0.026 5,67,5,67
56 V<sup>6</sup> 0.019 5,67,5,56
164 I<sup>6</sup><sub>4</sub> 0.019 5,67,5,164
46 IV<sup>6</sup> 0.019 5,67,5,46
16 I<sup>6</sup> 0.019 5,67,5,16
4 IV 0.303 5,67,1,4
5 V 0.237 5,67,1,5
47 IV<sup>7</sup> 0.158 5,67,1,47
67 vi<sup>7</sup> 0.066 5,67,1,67
56 V<sup>6</sup> 0.039 5,67,1,56
3 iii 0.039 5,67,1,3
2 ii 0.039 5,67,1,2
564 V<sup>6</sup><sub>4</sub> 0.039 5,67,1,564
164 I<sup>6</sup><sub>4</sub> 0.039 5,67,1,164
47 IV<sup>7</sup> 0.514 5,67,37,47
27 ii<sup>7</sup> 0.135 5,67,37,27
4 IV 0.122 5,67,37,4
164 I<sup>6</sup><sub>4</sub> 0.081 5,67,37,164
1 I 0.041 5,67,37,1
b2 ii&deg; 0.041 5,67,37,b2
5 V 0.375 5,67,27,5
47 IV<sup>7</sup> 0.313 5,67,27,47
37 iii<sup>7</sup> 0.083 5,67,27,37
6 vi 0.063 5,67,27,6
1 I 0.063 5,67,27,1
2 ii 0.063 5,67,27,2
b47 iv<sup>7</sup> 0.042 5,67,27,b47
1 I 0.636 5,67,56,1
6 vi 0.182 5,67,56,6
5 V 0.182 5,67,56,5
27 ii<sup>7</sup> 0.462 5,67,47,27
5 V 0.423 5,67,47,5
b77 &#9837;VIIb7 0.077 5,67,47,b77
1 I 0.038 5,67,47,1
6 vi 0.5 5,67,2,6
47 IV<sup>7</sup> 0.25 5,67,2,47
5 V 0.125 5,67,2,5
16 I<sup>6</sup> 0.125 5,67,2,16
4 IV 0.286 5,67,6,4
3 iii 0.143 5,67,6,3
2 ii 0.143 5,67,6,2
1 I 0.143 5,67,6,1
76 vii&deg;<sup>6</sup> 0.143 5,67,6,76
1 I 0.769 5,67,142,1
17 I<sup>7</sup> 0.231 5,67,142,17
4 IV 0.462 5,67,16,4
6 vi 0.5 5,67,5/5,6
4 IV 0.25 5,67,5/5,4
2 ii 0.167 5,67,5/5,2
5/6 V/vi 0.083 5,67,5/5,5/6
67 vi<sup>7</sup> 0.6 5,67,642,67
6 vi 0.3 5,67,642,6
664 vi<sup>6</sup><sub>4</sub> 0.1 5,67,642,664
47 IV<sup>7</sup> 0.333 5,67,3,47
4 IV 0.333 5,67,3,4
b57 v<sup>7</sup> 0.333 5,67,3,b57
47 IV<sup>7</sup> 0.375 5,67,17,47
4 IV 0.375 5,67,17,4
27 ii<sup>7</sup> 0.25 5,67,17,27
67 vi<sup>7</sup> 0.625 5,67,5/6,67
27 ii<sup>7</sup> 0.375 5,67,5/6,27
47 IV<sup>7</sup> 1 5,67,665,47
56/5 V<sup>6</sup>/V 0.5 5,67,164,56/5
36 iii<sup>6</sup> 0.5 5,67,164,36
642 vi<sup>4</sup><sub>2</sub> 0.8 5,67,66,642
6 vi 0.2 5,67,66,6
67 vi<sup>7</sup> 1 5,67,57/5,67
57/4 V<sup>7</sup>/IV 1 5,67,b57,57/4
b7 &#9837;VII 1 5,67,265,b7
4 IV 1 5,67,b7,4
67 vi<sup>7</sup> 0.482 5,27,4,67
1 I 0.164 5,27,4,1
5 V 0.145 5,27,4,5
6 vi 0.1 5,27,4,6
442 IV<sup>4</sup><sub>2</sub> 0.055 5,27,4,442
b7 &#9837;VII 0.027 5,27,4,b7
36 iii<sup>6</sup> 0.027 5,27,4,36
27 ii<sup>7</sup> 0.365 5,27,5,27
3 iii 0.176 5,27,5,3
1 I 0.106 5,27,5,1
17 I<sup>7</sup> 0.059 5,27,5,17
5/6 V/vi 0.047 5,27,5,5/6
2 ii 0.035 5,27,5,2
6 vi 0.035 5,27,5,6
5/5 V/V 0.012 5,27,5,5/5
b7 &#9837;VII 0.012 5,27,5,b7
L27 II<sup>7</sup> 0.012 5,27,5,L27
5 V 0.623 5,27,67,5
1 I 0.131 5,27,67,1
143 I<sup>4</sup><sub>3</sub> 0.049 5,27,67,143
27 ii<sup>7</sup> 0.049 5,27,67,27
5 V 0.568 5,27,1,5
67 vi<sup>7</sup> 0.182 5,27,1,67
b5 v 0.136 5,27,1,b5
4 IV 0.068 5,27,1,4
6 vi 0.045 5,27,1,6
4 IV 0.436 5,27,37,4
47 IV<sup>7</sup> 0.256 5,27,37,47
b17 i<sup>7</sup> 0.077 5,27,37,b17
D47 IVb7 0.077 5,27,37,D47
6 vi 0.077 5,27,37,6
3 iii 0.077 5,27,37,3
67 vi<sup>7</sup> 0.5 5,27,66,67
6 vi 0.417 5,27,66,6
37 iii<sup>7</sup> 0.083 5,27,66,37
4 IV 0.5 5,27,16,4
5 V 0.333 5,27,16,5
47 IV<sup>7</sup> 0.033 5,27,16,47
5 V 0.423 5,27,47,5
6 vi 0.346 5,27,47,6
3 iii 0.115 5,27,47,3
67 vi<sup>7</sup> 0.077 5,27,47,67
57/6 V<sup>7</sup>/vi 0.038 5,27,47,57/6
27 ii<sup>7</sup> 0.391 5,27,b7,27
57/6 V<sup>7</sup>/vi 0.261 5,27,b7,57/6
4 IV 0.217 5,27,b7,4
5/5 V/V 0.13 5,27,b7,5/5
5 V 0.429 5,27,6,5
3 iii 0.214 5,27,6,3
47 IV<sup>7</sup> 0.214 5,27,6,47
27 ii<sup>7</sup> 0.143 5,27,6,27
47 IV<sup>7</sup> 0.714 5,27,5/6,47
57/6 V<sup>7</sup>/vi 0.214 5,27,5/6,57/6
6 vi 0.071 5,27,5/6,6
46 IV<sup>6</sup> 0.5 5,27,57,46
b46 iv<sup>6</sup> 0.25 5,27,57,b46
5 V 0.75 5,27,56,5
3 iii 0.25 5,27,56,3
4 IV 0.5 5,27,2,4
27 ii<sup>7</sup> 0.5 5,27,2,27
464 IV<sup>6</sup><sub>4</sub> 0.273 5,27,3,464
6 vi 0.273 5,27,3,6
37 iii<sup>7</sup> 0.273 5,27,3,37
5 V 0.182 5,27,3,5
67 vi<sup>7</sup> 0.833 5,27,265,67
5 V 0.167 5,27,265,5
164 I<sup>6</sup><sub>4</sub> 1 5,27,M77,164
4 IV 1 5,27,57/6,4
4 IV 1 5,27,365,4
27 ii<sup>7</sup> 1 5,27,464,27
2 ii 1 5,27,564,2
6 vi 0.486 5,47,5,6
47 IV<sup>7</sup> 0.111 5,47,5,47
1 I 0.083 5,47,5,1
7/6 vii&deg;/vi 0.056 5,47,5,7/6
564 V<sup>6</sup><sub>4</sub> 0.042 5,47,5,564
56/6 V<sup>6</sup>/vi 0.042 5,47,5,56/6
67 vi<sup>7</sup> 0.021 5,47,5,67
5/2 V/ii 0.021 5,47,5,5/2
642 vi<sup>4</sup><sub>2</sub> 0.021 5,47,5,642
37 iii<sup>7</sup> 0.021 5,47,5,37
L27 II<sup>7</sup> 0.007 5,47,5,L27
5 V 0.537 5,47,1,5
37 iii<sup>7</sup> 0.149 5,47,1,37
27 ii<sup>7</sup> 0.09 5,47,1,27
6 vi 0.09 5,47,1,6
4 IV 0.045 5,47,1,4
D3 &#9837;III 0.045 5,47,1,D3
2 ii 0.045 5,47,1,2
5 V 0.611 5,47,6,5
1 I 0.167 5,47,6,1
7 vii&deg; 0.056 5,47,6,7
36 iii<sup>6</sup> 0.056 5,47,6,36
2 ii 0.056 5,47,6,2
3 iii 0.056 5,47,6,3
b37 &#9837;III<sup>7</sup> 0.375 5,47,37,b37
27 ii<sup>7</sup> 0.321 5,47,37,27
67 vi<sup>7</sup> 0.143 5,47,37,67
47 IV<sup>7</sup> 0.107 5,47,37,47
2 ii 0.054 5,47,37,2
47 IV<sup>7</sup> 0.455 5,47,4,47
6 vi 0.182 5,47,4,6
5 V 0.091 5,47,4,5
56 V<sup>6</sup> 0.091 5,47,4,56
3 iii 0.091 5,47,4,3
36 iii<sup>6</sup> 0.091 5,47,4,36
6 vi 0.481 5,47,3,6
67 vi<sup>7</sup> 0.111 5,47,3,67
5 V 0.5 5,47,2,5
5/6 V/vi 0.273 5,47,2,5/6
664 vi<sup>6</sup><sub>4</sub> 0.136 5,47,2,664
1 I 0.091 5,47,2,1
47 IV<sup>7</sup> 0.353 5,47,67,47
5 V 0.235 5,47,67,5
16 I<sup>6</sup> 0.176 5,47,67,16
2 ii 0.176 5,47,67,2
L57 V#7 0.059 5,47,67,L57
5 V 0.438 5,47,27,5
b7 &#9837;VII 0.188 5,47,27,b7
67 vi<sup>7</sup> 0.188 5,47,27,67
1 I 0.188 5,47,27,1
27 ii<sup>7</sup> 0.571 5,47,16,27
164 I<sup>6</sup><sub>4</sub> 0.214 5,47,16,164
2 ii 0.071 5,47,16,2
27 ii<sup>7</sup> 0.5 5,47,365,27
67 vi<sup>7</sup> 0.3 5,47,365,67
6 vi 0.667 5,47,b7,6
1 I 0.333 5,47,b7,1
6 vi 0.375 5,47,57/6,6
67 vi<sup>7</sup> 0.375 5,47,57/6,67
47 IV<sup>7</sup> 0.857 5,47,17,47
3 iii 0.5 5,47,57,3
5 V 0.5 5,47,57,5
b76 &#9837;VII<sup>6</sup> 0.5 5,47,b1,b76
26 ii<sup>6</sup> 1 5,47,265,26
27 ii<sup>7</sup> 1 5,47,L77,27
47 IV<sup>7</sup> 1 5,47,5/5,47
6 vi 1 5,47,36,6
6 vi 1 5,47,56,6
37 iii<sup>7</sup> 1 5,47,7/3,37
27 ii<sup>7</sup> 1 5,47,542,27
47 IV<sup>7</sup> 1 5,47,5/6,47
17 I<sup>7</sup> 1 5,47,b465,17
1 I 0.489 5,b7,4,1
5 V 0.18 5,b7,4,5
6 vi 0.051 5,b7,4,6
Y4 iv 0.051 5,b7,4,Y4
b6 &#9837;VI 0.045 5,b7,4,b6
5/6 V/vi 0.028 5,b7,4,5/6
b3 &#9837;III 0.028 5,b7,4,b3
2 ii 0.022 5,b7,4,2
56/5 V<sup>6</sup>/V 0.017 5,b7,4,56/5
16 I<sup>6</sup> 0.017 5,b7,4,16
67 vi<sup>7</sup> 0.017 5,b7,4,67
17 I<sup>7</sup> 0.017 5,b7,4,17
3 iii 0.017 5,b7,4,3
5/2 V/ii 0.017 5,b7,4,5/2
L17 I<sup>7</sup> 0.006 5,b7,4,L17
5 V 0.33 5,b7,1,5
b7 &#9837;VII 0.227 5,b7,1,b7
5/6 V/vi 0.124 5,b7,1,5/6
b3 &#9837;III 0.103 5,b7,1,b3
6 vi 0.062 5,b7,1,6
4 IV 0.041 5,b7,1,4
2 ii 0.041 5,b7,1,2
16 I<sup>6</sup> 0.031 5,b7,1,16
5/2 V/ii 0.031 5,b7,1,5/2
5/5 V/V 0.01 5,b7,1,5/5
5 V 1 5,b7,464/4,5
1 I 0.407 5,b7,5,1
4 IV 0.296 5,b7,5,4
b7 &#9837;VII 0.185 5,b7,5,b7
Y5 v&deg; 0.111 5,b7,5,Y5
4 IV 0.45 5,b7,2,4
1 I 0.25 5,b7,2,1
5/2 V/ii 0.15 5,b7,2,5/2
5/6 V/vi 0.15 5,b7,2,5/6
1 I 0.429 5,b7,6,1
4 IV 0.357 5,b7,6,4
5 V 0.214 5,b7,6,5
b6 &#9837;VI 0.6 5,b7,b3,b6
D4 IV 0.3 5,b7,b3,D4
4 IV 0.1 5,b7,b3,4
